Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Voltas,1,copper_condenser_coil,1155,R-32,46,4.1,0,34990,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/air-conditioner-new/v/i/s/-original-imagdvx8q3m8erbj.jpeg?q=70
CARRIER,Flexicool,copper_condenser_coil,974.21,R-32,37,4.3,9692,39400,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/g/w/z/-original-imagbwxsvzh3phfu.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Croma,1,copper_condenser_coil,1070,R-32,44,4.0,0,0,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/6/5/h/-original-imagd7qhswkpenpg.jpeg?q=70
Voltas,1.5,copper_condenser_coil,987.43,R-32,46,4.2,845,36999,https://rukminim1.flixcart.com/image/312/312/l1b1oy80/air-conditioner-new/r/c/l/-original-imagcwjcyhx65kbe.jpeg?q=70
MOTOROLA,2,copper_condenser_coil,1356.23,R-32,38,4.4,588,39990,https://rukminim1.flixcart.com/image/312/312/ku79vgw0/air-conditioner-new/z/u/8/moto203siasmt-split-motorola-dual-inverter-original-imag7dyjfzvuuzzh.jpeg?q=70
Lloyd,1.5,copper_condenser_coil,1002.76,R-32,35,4.0,602,35499,https://rukminim1.flixcart.com/image/312/312/l30hmkw0/air-conditioner-new/p/i/j/-original-image87vgqsmrjss.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.2,24780,36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Whirlpool,1.5,copper_condenser_coil,1660,R-32,43,4.2,28442,31990,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70
Voltas,1.5,copper_condenser_coil,1690,R-32,46,4.1,1856,34999,https://rukminim1.flixcart.com/image/312/312/l0tweq80/air-conditioner-new/q/i/f/-original-imagcj2spjwh5jyt.jpeg?q=70
LG,1.5,copper_condenser_coil,962.65,R-32,26,2.2,0,36490,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/air-conditioner-new/f/y/o/-original-imagd5u4nh3trzph.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Thomson,1,copper_condenser_coil,944,R-32,48,4.4,211,24490,https://rukminim1.flixcart.com/image/312/312/l111lzk0/air-conditioner-new/5/8/4/-original-imagczp464ravmvv.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
SAMSUNG,Super,copper_condenser_coil,960,R-32,45,0.0,0,35190,https://rukminim1.flixcart.com/image/312/312/l51d30w0/air-conditioner-new/d/t/t/-original-imagfsugdpyzz8hy.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.1,447,35490,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/2/4/g/-original-imagae8qmgmdsufu.jpeg?q=70
Daikin,1.5,copper_condenser_coil,1752,R-32,35,4.2,2468,38000,https://rukminim1.flixcart.com/image/312/312/ko7idu80/air-conditioner-new/f/e/s/mtkl50tv16v-rkl50tv16v-c-split-daikin-inverter-original-imag2px2ydtm934p.jpeg?q=70
Hitachi,1.5,copper_condenser_coil,1540,R410A,34,3.9,2883,43999,https://rukminim1.flixcart.com/image/312/312/kmqn3bk0/air-conditioner-new/f/n/l/rsog518heea-split-hitachi-inverter-original-imagfkksbkrxykjk.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Midea,1,copper_condenser_coil,1170,R-32,33,5.0,0,30499,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/z/b/q/-original-imagcrtftny6wjnj.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1500,R-32,35,4.4,0,40450,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/n/w/p/-original-imagcbtzc2npmhdz.jpeg?q=70
Daikin,1,copper_condenser_coil,848,R-32,37,4.1,907,32330,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/air-conditioner-new/u/w/x/-original-imagbp2vqegt4raq.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
ONIDA,1.5,copper_condenser_coil,1820,R-32,45,4.3,5199,31499,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70
MarQ,By,copper_condenser_coil,862.9,R-32,34,4.3,3434,33490,https://rukminim1.flixcart.com/image/312/312/ju04akw0/air-conditioner-new/x/t/f/fkac155siains-1-5-split-marq-by-flipkart-inverter-original-imaff85a8yqkyejt.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1168.9,R-32,56,4.0,0,33720,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/0/t/f/-original-imagd7cpzvgedwht.jpeg?q=70
Daikin,1,copper_condenser_coil,940,R-32,27,0.0,0,43499,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/v/f/i/-original-imagbwukz6jtqj6u.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Haier,1.5,copper_condenser_coil,1451,R-32,41,0.0,0,38490,https://rukminim1.flixcart.com/image/312/312/kpwybgw0/air-conditioner-new/x/c/g/hsu18c-ncb3b-inv-split-haier-inverter-original-imag4fwz3kvehv99.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.8,0,42119,https://rukminim1.flixcart.com/image/312/312/l13whow0/air-conditioner-new/f/k/5/-original-imagcqpshm8kwzfy.jpeg?q=70
Blue,Star,copper_condenser_coil,1565,R-32,55,3.9,130,40699,https://rukminim1.flixcart.com/image/312/312/kzn17680/air-conditioner-new/d/d/n/-original-imagbhp6s5gbwdhy.jpeg?q=70
ONIDA,1,copper_condenser_coil,1090,R-32,37,4.1,0,31999,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/q/b/5/-original-image9agdysg82gd.jpeg?q=70
IFB,1.6,copper_condenser_coil,5650,R-32,35,3.9,0,37980,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/air-conditioner-new/w/s/f/-original-imagdrk497uqyhqb.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1168.9,R-32,56,4.0,0,33720,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/0/t/f/-original-imagd7cpzvgedwht.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Voltas,1,copper_condenser_coil,3450,R-32,45,0.0,0,33300,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/air-conditioner-new/z/x/s/-original-imageydaeyb5thya.jpeg?q=70
IFB,1.6,copper_condenser_coil,5650,R-32,35,3.9,0,37980,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/air-conditioner-new/w/s/f/-original-imagdrk497uqyhqb.jpeg?q=70
ONIDA,1.5,copper_condenser_coil,1820,erature: 58 DegreeC,51,4.5,0,30999,https://rukminim1.flixcart.com/image/312/312/kvcpn680/air-conditioner-new/h/u/u/-original-imag89z4ccjch6sf.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
LG,1.5,copper_condenser_coil,1015.7,R-32,31,3.8,0,45279,https://rukminim1.flixcart.com/image/312/312/ky7lci80/air-conditioner-new/a/5/h/-original-imagahqgc8cz3e7m.jpeg?q=70
Whirlpool,1.5,copper_condenser_coil,1890,R-32,37,4.1,0,36990,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/y/6/h/1-5t-3dcool-swing-pro-3s-copr-inv-i-o-1-5-split-inverter-original-imafnw9kkz3hzwyd.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Blue,Star,copper_condenser_coil,1565,R-32,55,3.9,130,40699,https://rukminim1.flixcart.com/image/312/312/kzn17680/air-conditioner-new/d/d/n/-original-imagbhp6s5gbwdhy.jpeg?q=70
ONIDA,1,copper_condenser_coil,1090,R-32,37,4.1,0,31999,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/q/b/5/-original-image9agdysg82gd.jpeg?q=70
Panasonic,1,copper_condenser_coil,1095,R-32,45,4.3,10156,32999,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.8,0,42119,https://rukminim1.flixcart.com/image/312/312/l13whow0/air-conditioner-new/f/k/5/-original-imagcqpshm8kwzfy.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.2,24780,36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Lloyd,1,copper_condenser_coil,574.71,R-32,36,4.3,452,37999,https://rukminim1.flixcart.com/image/312/312/kmax8y80/air-conditioner-new/t/u/c/gls12i56wrbp-split-lloyd-inverter-original-imagf8tgeq4nvxz4.jpeg?q=70
Croma,1.5,copper_condenser_coil,1430,R-32,49,0.0,0,28990,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/w/e/-original-imagd7qhgahhhftz.jpeg?q=70
CARRIER,4,copper_condenser_coil,1050,R-32,32,4.3,9692,35999,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/d/e/p/14k-5-star-ester-nxi-inverter-r32-split-ac-split-carrier-original-imagyk2q7hxzxhtg.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Blue,Star,copper_condenser_coil,739.27,R-32,62,4.2,745,33990,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/n/m/k/fs312ebtu-split-blue-star-fixed-speed-original-imagf2zpzhmvdxgh.jpeg?q=70
MarQ,By,copper_condenser_coil,840.75,R-32,38,4.3,7176,34999,https://rukminim1.flixcart.com/image/312/312/ka1e6q80/air-conditioner-new/d/a/t/fkac155siap-1-5-split-dual-inverter-marq-by-flipkart-original-imafrp7zeyehmmef.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1700,R-32,53,4.8,0,34499,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/c/k/y/-original-imagch5k2dqsqenb.jpeg?q=70
Whirlpool,1,copper_condenser_coil,1140,R-32,30,5.0,0,34000,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/k/3/7/1-0t-3dcool-swing-pro-3s-copr-inv-1-split-inverter-whirlpool-original-imafnw9kagntyrfs.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Croma,2,copper_condenser_coil,1291,R-32,55,0.0,0,0,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/air-conditioner-new/j/h/t/-original-imagfdg8dqtqfanh.jpeg?q=70
Lloyd,2,copper_condenser_coil,1263.64,R-32,43,4.0,715,48999,https://rukminim1.flixcart.com/image/312/312/kn4xhu80/air-conditioner-new/p/y/8/gls24i36wsel-split-lloyd-inverter-original-imagfw5bnghsehzm.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Lloyd,2,copper_condenser_coil,1386.43,R-32,38,4.1,388,47499,https://rukminim1.flixcart.com/image/312/312/l30hmkw0/air-conditioner-new/g/l/z/-original-image87v97tke4hh.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Nokia,4,copper_condenser_coil,1009,R-32,38,4.2,266,31990,https://rukminim1.flixcart.com/image/312/312/ks6ef0w0/air-conditioner-new/i/1/x/nokia153siai-split-triple-inverter-nokia-original-imag5sxgyugugeez.jpeg?q=70
Voltas,1.5,copper_condenser_coil,1355,R-32,46,4.3,4522,39990,https://rukminim1.flixcart.com/image/312/312/jw3umq80/air-conditioner-new/9/5/r/185v-jzj-r32-1-5-split-inverter-voltas-original-imafguw9zffgqfeu.jpeg?q=70
Lloyd,1.5,copper_condenser_coil,1119.36,R-32,42,4.0,715,32500,https://rukminim1.flixcart.com/image/312/312/kl9rssw0/air-conditioner-new/h/b/j/ls18b32epb2-1-5-split-lloyd-fixed-speed-original-imagyfpj4nfkrxmm.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.2,24780,36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Voltas,1.5,copper_condenser_coil,1729,R-22,58,4.3,5995,27950,https://rukminim1.flixcart.com/image/312/312/jucz98w0/air-conditioner-new/e/9/f/wac-183-dza-1-5-window-voltas-fixed-speed-original-imaffgfwgtxmug9f.jpeg?q=70
Blue,Star,copper_condenser_coil,1450,R-32,46,4.4,1477,37890,https://rukminim1.flixcart.com/image/312/312/k5vcya80/air-conditioner-new/e/f/j/fs318aatu-1-5-split-fixed-speed-blue-star-original-imafnktmmr7ksjkd.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
MarQ,By,copper_condenser_coil,1118,R-32,38,4.4,326,35500,https://rukminim1.flixcart.com/image/312/312/kdeum4w0/air-conditioner-new/j/5/4/fkac155siasmart-1-5-split-marq-by-flipkart-fixed-speed-original-imafubd6znzxvmda.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1700,R-32,35,0.0,0,36249,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/n/h/f/-original-imagcbtzmabjvzva.jpeg?q=70
Lloyd,1.5,copper_condenser_coil,1835,R-32,42,0.0,0,37500,https://rukminim1.flixcart.com/image/312/312/kw6pw280/air-conditioner-new/p/t/b/-original-imag8x348xgzhj9h.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Godrej,1.5,copper_condenser_coil,1380,R-32,40,4.2,0,39399,https://rukminim1.flixcart.com/image/312/312/kcuug7k0/air-conditioner-new/b/r/u/gic-18mtc5-wsa-mps-1-5-split-godrej-inverter-original-imaftw6ya9qdgrzn.jpeg?q=70
Lloyd,1.5,copper_condenser_coil,1800,R410A,49,4.2,249,39000,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/y/f/z/ls18h31lf-mps-1-5-split-lloyd-inverter-original-imafu44g3hj79sws.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
LG,1,copper_condenser_coil,3283,R-32,20,0.0,0,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/h/m/t/-original-imagcgwvhzfzffa4.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.2,24780,36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Blue,Star,copper_condenser_coil,1456,R-32,41,0.0,0,38890,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/g/w/w/-original-imagcbthkshz9xhd.jpeg?q=70
MarQ,By,copper_condenser_coil,857.36,R-32,43,3.9,1596,33499,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/air-conditioner-new/x/x/y/-original-imagbgc8wbnptgua.jpeg?q=70
MOTOROLA,1,copper_condenser_coil,753.9,R-32,32,4.5,204,28990,https://rukminim1.flixcart.com/image/312/312/ku79vgw0/air-conditioner-new/l/r/a/moto103siat-split-motorola-inverter-original-imag7dy4mgrpfugd.jpeg?q=70
Blue,Star,copper_condenser_coil,836.04,R-32,63,4.2,4879,45990,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/p/2/z/ic312ebtu-split-blue-star-inverter-original-imagf2zpawvzdyxh.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Daikin,0.8,copper_condenser_coil,767,R-32,29,4.3,1956,25999,https://rukminim1.flixcart.com/image/312/312/knoxnrk0/air-conditioner-new/p/6/s/ftl28tv16x2-rl28tv16x2-split-daikin-fixed-speed-original-imag2b4vnqejehqv.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1350,R-32,48,4.5,152,47000,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/k/r/z/cs-cu-tu18vkyw-inverter-r32-mps-1-5-split-panasonic-inverter-original-imafu44gcyayfn9u.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1770,R-32,48,4.3,10156,36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,848.28,R-32,47,4.2,154,50990,https://rukminim1.flixcart.com/image/312/312/knhsgi80/air-conditioner-new/q/q/f/cs-hu18xkyf-cu-hu18xkyf-split-panasonic-inverter-original-imag262yw4ghcurr.jpeg?q=70
Lloyd,1.5,copper_condenser_coil,1077.45,R-32,40,3.6,0,39400,https://rukminim1.flixcart.com/image/312/312/kn4xhu80/air-conditioner-new/s/r/n/ls18i35wshd-split-lloyd-inverter-original-imagfw5bjcwqfexw.jpeg?q=70
Voltas,1,copper_condenser_coil,1130,R-32,39.5,4.2,0,29898,https://rukminim1.flixcart.com/image/312/312/ka2tmkw0/air-conditioner-new/f/h/4/sac-123v-cztt-1-split-inverter-voltas-original-imafrqahwywvggpn.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Voltas,1.5,copper_condenser_coil,1520,R-32,46,4.2,3719,37499,https://rukminim1.flixcart.com/image/312/312/jua4djk0/air-conditioner-new/n/q/v/sac-184v-szs-1-5-split-voltas-inverter-original-imaff8g63thtgysz.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
LG,1.5,copper_condenser_coil,5000,R-32,26,0.0,0,38729,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/air-conditioner-new/f/m/u/-original-imagc875wwz6qsxw.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.2,24780,36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.1,447,35490,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/2/4/g/-original-imagae8qmgmdsufu.jpeg?q=70
Blue,Star,copper_condenser_coil,1124.78,R-32,62.5,4.2,1790,38409,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/n/m/k/fs312ebtu-split-blue-star-fixed-speed-original-imagf2zpzhmvdxgh.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Blue,Star,copper_condenser_coil,1790,R-32,43.6,0.0,0,48990,https://rukminim1.flixcart.com/image/312/312/l0lbrm80/air-conditioner-new/i/q/q/-original-imagccgv7ph7yady.jpeg?q=70
LumX,1.5,copper_condenser_coil,1440,R-32,43,4.5,0,28990,https://rukminim1.flixcart.com/image/312/312/kr58yvk0/air-conditioner-new/v/g/j/lx184inhdm-split-inverter-lumx-original-imag5yd8da5wgfgj.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Daikin,1,copper_condenser_coil,1145,R-32,27,0.0,0,35600,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/k/r/a/-original-imagbwukgufc8tjc.jpeg?q=70
iFFALCON,1,copper_condenser_coil,1120,R-32,37,4.1,0,26490,https://rukminim1.flixcart.com/image/312/312/kr2e3680/air-conditioner-new/7/k/t/fac-12csd-ev3s-split-inverter-iffalcon-by-tcl-original-imag4xtxbhg6qkgg.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Haier,0.9,copper_condenser_coil,704,R-32,26,4.0,100,25990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/v/d/t/-original-imagch45txvbhgdv.jpeg?q=70
SAMSUNG,1.5,copper_condenser_coil,1490,R-32,45,4.2,24780,36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Whirlpool,1.5,copper_condenser_coil,1365,R-32,43,4.2,28442,42899,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70
