dt,CLICKS,ORIGIN_IP,DEST_IP,Fraud
10/02/2022,45,2,514,0
10/01/2022,60200,1,513,1
10/01/2022,596,2,514,0
09/30/2022,1920,1,513,0
09/30/2022,2742,2,514,0
09/29/2022,1189,1,513,0
09/29/2022,1100,2,514,0
09/28/2022,958,1,513,0
09/28/2022,1120,2,514,0
09/27/2022,802,1,513,0
09/27/2022,3829,2,514,0
09/26/2022,1020,1,513,0
09/26/2022,1484,2,514,0
09/25/2022,1462,1,513,0
09/25/2022,3351,2,514,0
09/24/2022,229,1,513,0
09/24/2022,1572,2,514,0
09/23/2022,4077,1,513,0
09/23/2022,3571,2,514,0
09/22/2022,671,1,513,0
09/22/2022,523,2,514,0
09/21/2022,2279,1,513,0
09/21/2022,1904,2,514,0
09/20/2022,1271,1,513,0
09/20/2022,222,2,514,0
09/19/2022,1382,1,513,0
09/19/2022,1711,2,514,0
09/18/2022,3231,1,513,0
09/18/2022,1545,2,514,0
09/17/2022,2122,1,513,0
09/17/2022,1256,2,514,0
09/16/2022,3558,1,513,0
09/16/2022,933,2,514,0
09/15/2022,2090,1,513,0
09/15/2022,3960,2,514,0
09/14/2022,1070,1,513,0
09/14/2022,245,2,514,0
09/13/2022,60,1,513,0
09/13/2022,2106,2,514,0
09/12/2022,1183,1,513,0
09/12/2022,1429,2,514,0
09/11/2022,2816,1,513,0
09/11/2022,3530,2,514,0
09/10/2022,2779,1,513,0
09/10/2022,420,2,514,0
09/09/2022,1160,1,513,0
09/09/2022,992,2,514,0
09/08/2022,725,1,513,0
09/08/2022,1185,2,514,0
09/07/2022,2329,1,513,0
09/07/2022,288,2,514,0
09/06/2022,345,1,513,0
09/06/2022,432,2,514,0
09/05/2022,2,1,513,0
09/05/2022,1422,2,514,0
09/04/2022,2203,1,513,0
09/04/2022,1182,2,514,0
09/03/2022,641,1,513,0
09/03/2022,769,2,514,0
09/02/2022,1904,1,513,0
09/02/2022,449,2,514,0
09/01/2022,4055,1,513,0
09/01/2022,2058,2,514,0
08/31/2022,1509,1,513,0
08/31/2022,572,2,514,0
08/30/2022,983,1,513,0
08/30/2022,2651,2,514,0
08/29/2022,769,1,513,0
08/29/2022,1820,2,514,0
08/28/2022,562,1,513,0
08/28/2022,1879,2,514,0
08/27/2022,513,1,513,0
08/27/2022,1529,2,514,0
08/26/2022,1619,1,513,0
08/26/2022,289,2,514,0
08/25/2022,1634,1,513,0
08/25/2022,3103,2,514,0
08/24/2022,2025,1,513,0
08/24/2022,318,2,514,0
08/23/2022,256,1,513,0
08/23/2022,1055,2,514,0
08/22/2022,4030,1,513,0
08/22/2022,171,2,514,0
08/21/2022,734,1,513,0
08/21/2022,2393,2,514,0
08/20/2022,404,1,513,0
08/20/2022,1467,2,514,0
08/19/2022,1546,1,513,0
08/19/2022,510,2,514,0
08/18/2022,1853,1,513,0
08/18/2022,655,2,514,0
08/17/2022,2793,1,513,0
08/17/2022,1995,2,514,0
08/16/2022,1115,1,513,0
08/16/2022,1211,2,514,0
08/15/2022,4425,1,513,0
08/15/2022,1348,2,514,0
08/14/2022,3757,1,513,0
08/14/2022,877,2,514,0
08/13/2022,1162,1,513,0
08/13/2022,3328,2,514,0
08/12/2022,970,1,513,0
08/12/2022,773,2,514,0
08/11/2022,113,1,513,0
08/11/2022,2616,2,514,0
08/10/2022,1110,1,513,0
08/10/2022,884,2,514,0
08/09/2022,265,1,513,0
08/09/2022,1383,2,514,0
08/08/2022,223,1,513,0
08/08/2022,12,2,514,0
08/07/2022,57,1,513,0
08/07/2022,492,2,514,0
08/06/2022,376,1,513,0
08/06/2022,2127,2,514,0
08/05/2022,417,1,513,0
08/05/2022,1917,2,514,0
08/04/2022,996,1,513,0
08/04/2022,2536,2,514,0
08/03/2022,2417,1,513,0
08/03/2022,2020,2,514,0
08/02/2022,795,1,513,0
08/02/2022,162,2,514,0
08/01/2022,2893,1,513,0
08/01/2022,506,2,514,0
07/31/2022,851,1,513,0
07/31/2022,287,2,514,0
07/30/2022,41,1,513,0
07/30/2022,1121,2,514,0
07/29/2022,2058,1,513,0
07/29/2022,2058,2,514,0
01/27/2023,2361,1,256,0
01/27/2023,920,2,257,0
01/26/2023,1495,1,256,0
01/26/2023,2220,2,257,0
01/25/2023,3623,1,256,0
01/25/2023,585,2,257,0
01/24/2023,355,1,256,0
01/24/2023,298,2,257,0
01/23/2023,2328,1,256,0
01/23/2023,3030,2,257,0
01/22/2023,2037,1,256,0
01/22/2023,2627,2,257,0
01/21/2023,794,1,256,0
01/21/2023,396,2,257,0
01/20/2023,2579,1,256,0
01/20/2023,2679,2,257,0
01/19/2023,2058,1,256,0
01/19/2023,793,2,257,0
01/18/2023,1383,1,256,0
01/18/2023,1904,2,257,0
01/17/2023,302,1,256,0
01/17/2023,2068,2,257,0
01/16/2023,673,1,256,0
01/16/2023,3491,2,257,0
01/15/2023,2084,1,256,0
01/15/2023,2188,2,257,0
01/14/2023,4462,1,256,0
01/14/2023,2070,2,257,0
01/13/2023,2293,1,256,0
01/13/2023,3122,2,257,0
01/12/2023,3027,1,256,0
01/12/2023,625,2,257,0
01/11/2023,1767,1,256,0
01/11/2023,3172,2,257,0
01/10/2023,3292,1,256,0
01/10/2023,327,2,257,0
01/09/2023,237,1,256,0
01/09/2023,1384,2,257,0
01/08/2023,546,1,256,0
01/08/2023,1316,2,257,0
01/07/2023,1520,1,256,0
01/07/2023,1289,2,257,0
01/06/2023,257,1,256,0
01/06/2023,285,2,257,0
01/05/2023,1034,1,256,0
01/05/2023,3128,2,257,0
01/04/2023,3139,1,256,0
01/04/2023,3451,2,257,0
01/03/2023,3526,1,256,0
01/03/2023,2999,2,257,0
01/02/2023,525,1,256,0
01/02/2023,1881,2,257,0
01/01/2023,1668,1,256,0
01/01/2023,913,2,257,0
12/31/2022,1418,1,256,0
12/31/2022,881,2,257,0
12/30/2022,2420,1,256,0
12/30/2022,2223,2,257,0
12/29/2022,353,1,256,0
12/29/2022,1268,2,257,0
12/28/2022,654,1,256,0
12/28/2022,2278,2,257,0
12/27/2022,576,1,256,0
12/27/2022,1735,2,257,0
12/26/2022,3234,1,256,0
12/26/2022,3832,2,257,0
12/25/2022,2644,1,256,0
12/25/2022,2842,2,257,0
12/24/2022,2280,1,256,0
12/24/2022,363,2,257,0
12/23/2022,354,1,256,0
12/23/2022,783,2,257,0
12/22/2022,102,1,256,0
12/22/2022,2221,2,257,0
12/21/2022,1308,1,256,0
12/21/2022,598,2,257,0
12/20/2022,1260,1,256,0
12/20/2022,1962,2,257,0
12/19/2022,326,1,256,0
12/19/2022,769,2,257,0
12/18/2022,104,1,256,0
12/18/2022,154,2,257,0
12/17/2022,2673,1,256,0
12/17/2022,1433,2,257,0
12/16/2022,1788,1,256,0
12/16/2022,1508,2,257,0
12/15/2022,1390,1,256,0
12/15/2022,2537,2,257,0
12/14/2022,1573,1,256,0
12/14/2022,1420,2,257,0
12/13/2022,690,1,256,0
12/13/2022,894,2,257,0
12/12/2022,121,1,256,0
12/12/2022,137700,2,257,1
12/11/2022,2110,1,256,0
12/11/2022,3,2,257,0
12/10/2022,2318,1,256,0
12/10/2022,154,2,257,0
12/09/2022,2884,1,256,0
12/09/2022,2208,2,257,0
12/08/2022,1696,1,256,0
12/08/2022,4476,2,257,0
12/07/2022,1173,1,256,0
12/07/2022,1235,2,257,0
12/06/2022,1612,1,256,0
12/06/2022,2065,2,257,0
12/05/2022,1517,1,256,0
12/05/2022,56,2,257,0
12/04/2022,1145,1,256,0
12/04/2022,1591,2,257,0
12/03/2022,2623,1,256,0
12/03/2022,629,2,257,0
12/02/2022,1279,1,256,0
12/02/2022,1253,2,257,0
12/01/2022,1403,1,256,0
12/01/2022,601,2,257,0
11/30/2022,3228,1,256,0
11/30/2022,228,2,257,0
11/29/2022,1645,1,256,0
11/29/2022,807,2,257,0
11/28/2022,3349,1,256,0
11/28/2022,1226,2,257,0
11/27/2022,1906,1,256,0
11/27/2022,2298,2,257,0
11/26/2022,1387,1,256,0
11/26/2022,2807,2,257,0
11/25/2022,2417,1,256,0
11/25/2022,3040,2,257,0
11/24/2022,2046,1,256,0
11/24/2022,2787,2,257,0
11/23/2022,4020,1,256,0
11/23/2022,4191,2,257,0
11/22/2022,162,1,256,0
11/22/2022,1254,2,257,0
11/21/2022,966,1,256,0
11/21/2022,785,2,257,0
11/20/2022,526,1,256,0
11/20/2022,548,2,257,0
11/19/2022,536,1,256,0
11/19/2022,588,2,257,0
11/18/2022,1451,1,256,0
11/18/2022,1247,2,257,0
11/17/2022,731,1,256,0
11/17/2022,267,2,257,0
11/16/2022,510,1,256,0
11/16/2022,366,2,257,0
11/15/2022,357,1,256,0
11/15/2022,464,2,257,0
11/14/2022,1414,1,256,0
11/14/2022,621,2,257,0
11/13/2022,2382,1,256,0
11/13/2022,1647,2,257,0
11/12/2022,1350,1,256,0
11/12/2022,1512,2,257,0
11/11/2022,1616,1,256,0
11/11/2022,1623,2,257,0
11/10/2022,2766,1,256,0
11/10/2022,2606,2,257,0
11/09/2022,3730,1,256,0
11/09/2022,838,2,257,0
11/08/2022,647,1,256,0
11/08/2022,868,2,257,0
11/07/2022,4032,1,256,0
11/07/2022,2351,2,257,0
11/06/2022,995,1,256,0
11/06/2022,91,2,257,0
11/05/2022,2736,1,256,0
11/05/2022,2710,2,257,0
11/04/2022,2998,1,256,0
11/04/2022,1223,2,257,0
11/03/2022,2850,1,256,0
11/03/2022,444,2,257,0
11/02/2022,146,1,256,0
11/02/2022,1434,2,257,0
11/01/2022,2428,1,256,0
11/01/2022,1523,2,257,0
10/31/2022,139,1,256,0
10/31/2022,134,2,257,0
10/30/2022,1290,1,256,0
10/30/2022,1493,2,257,0
10/29/2022,2227,1,256,0
10/29/2022,2504,2,257,0
10/28/2022,2566,1,256,0
10/28/2022,1523,2,257,0
10/27/2022,1326,1,256,0
10/27/2022,358,2,257,0
10/26/2022,215,1,256,0
10/26/2022,1168,2,257,0
10/25/2022,2105,1,256,0
10/25/2022,622,2,257,0
10/24/2022,3175,1,256,0
10/24/2022,1663,2,257,0
10/23/2022,13,1,256,0
10/23/2022,1669,2,257,0
10/22/2022,1046,1,256,0
10/22/2022,843,2,257,0
10/21/2022,380,1,256,0
10/21/2022,809,2,257,0
10/20/2022,1544,1,256,0
10/20/2022,4451,2,257,0
10/19/2022,281,1,256,0
10/19/2022,2593,2,257,0
10/18/2022,587,1,256,0
10/18/2022,64,2,257,0
10/17/2022,2848,1,256,0
10/17/2022,732,2,257,0
10/16/2022,2826,1,256,0
10/16/2022,2835,2,257,0
10/15/2022,133,1,256,0
10/15/2022,2883,2,257,0
10/14/2022,2746,1,256,0
10/14/2022,355,2,257,0
10/13/2022,2376,1,256,0
10/13/2022,440,2,257,0
10/12/2022,1135,1,256,0
10/12/2022,237,2,257,0
10/11/2022,1677,1,256,0
10/11/2022,1188,2,257,0
10/10/2022,2877,1,256,0
10/10/2022,3672,2,257,0
10/09/2022,2994,1,256,0
10/09/2022,1277,2,257,0
10/08/2022,998,1,256,0
10/08/2022,1738,2,257,0
10/07/2022,2391,1,256,0
10/07/2022,473,2,257,0
10/06/2022,76,1,256,0
10/06/2022,1031,2,257,0
10/05/2022,1509,1,256,0
10/05/2022,101,2,257,0
10/04/2022,927,1,256,0
10/04/2022,283,2,257,0
10/03/2022,3348,1,256,0
10/03/2022,1242,2,257,0
10/02/2022,819,1,256,0
10/02/2022,1636,2,257,0
10/01/2022,3826,1,256,0
10/01/2022,546,2,257,0
09/30/2022,581,1,256,0
09/30/2022,679,2,257,0
09/29/2022,893,1,256,0
09/29/2022,925,2,257,0
09/28/2022,473,1,256,0
09/28/2022,162,2,257,0
09/27/2022,1811,1,256,0
09/27/2022,957,2,257,0
09/26/2022,406,1,256,0
09/26/2022,1187,2,257,0
09/25/2022,1065,1,256,0
09/25/2022,79,2,257,0
09/24/2022,3905,1,256,0
09/24/2022,411,2,257,0
09/23/2022,1507,1,256,0
09/23/2022,2471,2,257,0
09/22/2022,266,1,256,0
09/22/2022,327,2,257,0
09/21/2022,2664,1,256,0
09/21/2022,3415,2,257,0
09/20/2022,2637,1,256,0
09/20/2022,956,2,257,0
09/19/2022,1325,1,256,0
09/19/2022,1377,2,257,0
09/18/2022,2094,1,256,0
09/18/2022,2781,2,257,0
09/17/2022,2659,1,256,0
09/17/2022,2997,2,257,0
09/16/2022,2081,1,256,0
09/16/2022,2172,2,257,0
09/15/2022,1969,1,256,0
09/15/2022,3164,2,257,0
09/14/2022,1857,1,256,0
09/14/2022,2985,2,257,0
09/13/2022,1584,1,256,0
09/13/2022,1446,2,257,0
09/12/2022,521,1,256,0
09/12/2022,1772,2,257,0
09/11/2022,899,1,256,0
09/11/2022,3199,2,257,0
09/10/2022,2256,1,256,0
09/10/2022,514,2,257,0
09/09/2022,2580,1,256,0
09/09/2022,3296,2,257,0
09/08/2022,653,1,256,0
09/08/2022,1254,2,257,0
09/07/2022,1092,1,256,0
09/07/2022,164,2,257,0
09/06/2022,1757,1,256,0
09/06/2022,915,2,257,0
09/05/2022,253,1,256,0
09/05/2022,360,2,257,0
09/04/2022,1480,1,256,0
09/04/2022,1376,2,257,0
09/03/2022,2932,1,256,0
09/03/2022,4436,2,257,0
09/02/2022,171,1,256,0
09/02/2022,867,2,257,0
09/01/2022,1454,1,256,0
09/01/2022,3606,2,257,0
08/31/2022,1411,1,256,0
08/31/2022,904,2,257,0
08/30/2022,3244,1,256,0
08/30/2022,975,2,257,0
08/29/2022,54,1,256,0
08/29/2022,916,2,257,0
08/28/2022,2811,1,256,0
08/28/2022,2152,2,257,0
08/27/2022,2334,1,256,0
08/27/2022,54000,2,257,1
08/26/2022,3588,1,256,0
08/26/2022,3646,2,257,0
08/25/2022,4875,1,256,0
08/25/2022,292,2,257,0
08/24/2022,1877,1,256,0
08/24/2022,1523,2,257,0
08/23/2022,346,1,256,0
08/23/2022,3854,2,257,0
08/22/2022,2182,1,256,0
08/22/2022,2681,2,257,0
08/21/2022,891,1,256,0
08/21/2022,699,2,257,0
08/20/2022,1063,1,256,0
08/20/2022,303,2,257,0
08/19/2022,1157,1,256,0
08/19/2022,1939,2,257,0
08/18/2022,277,1,256,0
08/18/2022,3107,2,257,0
08/17/2022,1314,1,256,0
08/17/2022,3795,2,257,0
08/16/2022,1738,1,256,0
08/16/2022,1835,2,257,0
08/15/2022,2056,1,256,0
08/15/2022,7400,2,257,1
08/14/2022,1402,1,256,0
08/14/2022,38,2,257,0
08/13/2022,126,1,256,0
08/13/2022,1323,2,257,0
08/12/2022,2798,1,256,0
08/12/2022,1889,2,257,0
08/11/2022,517,1,256,0
08/11/2022,51,2,257,0
08/10/2022,2347,1,256,0
08/10/2022,1855,2,257,0
08/09/2022,1342,1,256,0
08/09/2022,604,2,257,0
08/08/2022,156,1,256,0
08/08/2022,1291,2,257,0
08/07/2022,4323,1,256,0
08/07/2022,2579,2,257,0
08/06/2022,1008,1,256,0
08/06/2022,183,2,257,0
08/05/2022,2643,1,256,0
08/05/2022,1643,2,257,0
08/04/2022,2884,1,256,0
08/04/2022,2157,2,257,0
08/03/2022,189,1,256,0
08/03/2022,596,2,257,0
08/02/2022,930,1,256,0
08/02/2022,242,2,257,0
08/01/2022,758,1,256,0
08/01/2022,250,2,257,0
07/31/2022,997,1,256,0
07/31/2022,1391,2,257,0
07/30/2022,435,1,256,0
07/30/2022,601,2,257,0
07/29/2022,752,1,256,0
07/29/2022,2019,2,257,0
01/26/2023,3279,1,513,0
01/26/2023,4721,2,514,0
01/25/2023,139,1,513,0
01/25/2023,381,2,514,0
01/24/2023,514,1,513,0
01/24/2023,1579,2,514,0
01/23/2023,1001,1,513,0
01/23/2023,361,2,514,0
01/22/2023,1773,1,513,0
01/22/2023,1148,2,514,0
01/21/2023,207,1,513,0
01/21/2023,2050,2,514,0
01/20/2023,1221,1,513,0
01/20/2023,719,2,514,0
01/19/2023,420,1,513,0
01/19/2023,475,2,514,0
01/18/2023,1605,1,513,0
01/18/2023,885,2,514,0
01/17/2023,1186,1,513,0
01/17/2023,1085,2,514,0
01/16/2023,433,1,513,0
01/16/2023,1319,2,514,0
01/15/2023,831,1,513,0
01/15/2023,1235,2,514,0
01/14/2023,2579,1,513,0
01/14/2023,4251,2,514,0
01/13/2023,18,1,513,0
01/13/2023,1075,2,514,0
01/12/2023,1986,1,513,0
01/12/2023,685,2,514,0
01/11/2023,4462,1,513,0
01/11/2023,2469,2,514,0
01/10/2023,1005,1,513,0
01/10/2023,1424,2,514,0
01/09/2023,2392,1,513,0
01/09/2023,1063,2,514,0
01/08/2023,19,1,513,0
01/08/2023,1159,2,514,0
01/07/2023,1921,1,513,0
01/07/2023,1111,2,514,0
01/06/2023,2708,1,513,0
01/06/2023,1431,2,514,0
01/05/2023,940,1,513,0
01/05/2023,2223,2,514,0
01/04/2023,3726,1,513,0
01/04/2023,2994,2,514,0
01/03/2023,519,1,513,0
01/03/2023,619,2,514,0
01/02/2023,502,1,513,0
01/02/2023,1373,2,514,0
01/01/2023,6,1,513,0
01/01/2023,112,2,514,0
12/30/2022,1084,1,513,0
12/30/2022,616,2,514,0
12/29/2022,1078,1,513,0
12/29/2022,1049,2,514,0
12/28/2022,1761,1,513,0
12/28/2022,586,2,514,0
12/27/2022,3179,1,513,0
12/27/2022,3331,2,514,0
12/26/2022,1495,1,513,0
12/26/2022,695,2,514,0
12/25/2022,653,1,513,0
12/25/2022,1358,2,514,0
12/24/2022,2232,1,513,0
12/24/2022,1205,2,514,0
12/23/2022,3004,1,513,0
12/23/2022,1937,2,514,0
12/22/2022,1567,1,513,0
12/22/2022,2783,2,514,0
12/21/2022,3925,1,513,0
12/21/2022,2388,2,514,0
12/20/2022,225,1,513,0
12/20/2022,2052,2,514,0
12/19/2022,868,1,513,0
12/19/2022,752,2,514,0
12/18/2022,1477,1,513,0
12/18/2022,3056,2,514,0
12/17/2022,281,1,513,0
12/17/2022,46,2,514,0
12/16/2022,2305,1,513,0
12/16/2022,2514,2,514,0
12/15/2022,563,1,513,0
12/15/2022,1578,2,514,0
12/14/2022,272,1,513,0
12/14/2022,1007,2,514,0
12/13/2022,1293,1,513,0
12/13/2022,1864,2,514,0
12/12/2022,735,1,513,0
12/12/2022,1587,2,514,0
12/11/2022,1854,1,513,0
12/11/2022,972,2,514,0
12/10/2022,1120,1,513,0
12/10/2022,1588,2,514,0
12/09/2022,2252,1,513,0
12/09/2022,1111,2,514,0
12/08/2022,2204,1,513,0
12/08/2022,344,2,514,0
12/07/2022,525,1,513,0
12/07/2022,535,2,514,0
12/06/2022,1721,1,513,0
12/06/2022,457,2,514,0
12/05/2022,642,1,513,0
12/05/2022,1335,2,514,0
12/04/2022,904,1,513,0
12/04/2022,2240,2,514,0
12/03/2022,1063,1,513,0
12/03/2022,930,2,514,0
12/02/2022,212,1,513,0
12/02/2022,1038,2,514,0
12/01/2022,252,1,513,0
12/01/2022,2042,2,514,0
11/29/2022,854,1,513,0
11/29/2022,2192,2,514,0
11/28/2022,333,1,513,0
11/28/2022,1713,2,514,0
11/27/2022,1163,1,513,0
11/27/2022,1,2,514,0
11/26/2022,635,1,513,0
11/26/2022,60,2,514,0
11/25/2022,1205,1,513,0
11/25/2022,384,2,514,0
11/24/2022,2534,1,513,0
11/24/2022,21,2,514,0
11/23/2022,490,1,513,0
11/23/2022,1321,2,514,0
11/22/2022,212400,1,513,1
11/22/2022,1231,2,514,0
11/21/2022,2243,1,513,0
11/21/2022,221,2,514,0
11/20/2022,2285,1,513,0
11/20/2022,2530,2,514,0
11/19/2022,3047,1,513,0
11/19/2022,2909,2,514,0
11/18/2022,1518,1,513,0
11/18/2022,26,2,514,0
11/17/2022,386,1,513,0
11/17/2022,839,2,514,0
11/16/2022,4186,1,513,0
11/16/2022,1351,2,514,0
11/15/2022,659,1,513,0
11/15/2022,3122,2,514,0
11/14/2022,1524,1,513,0
11/14/2022,2448,2,514,0
11/13/2022,2214,1,513,0
11/13/2022,1199,2,514,0
11/12/2022,2845,1,513,0
11/12/2022,1994,2,514,0
11/11/2022,3007,1,513,0
11/11/2022,697,2,514,0
11/10/2022,691,1,513,0
11/10/2022,1708,2,514,0
11/09/2022,1975,1,513,0
11/09/2022,3034,2,514,0
11/08/2022,834,1,513,0
11/08/2022,4292,2,514,0
11/07/2022,1038,1,513,0
11/07/2022,2701,2,514,0
11/06/2022,858,1,513,0
11/06/2022,950,2,514,0
